func,boundsType,a,b,result
1,1,10,,0.523598775598
1,1,100,,1.42996045322
1,1,1000,,1.55665478033
2,1,10,,0.785398163397
2,1,100,,0.785398163397
2,1,1000,,0.785398163517
1,2,10,15,0.629014802427
1,2,100,15,0.975390546015
1,2,1000,15,0.982718733089
1,2,10,150,0.783185766785
1,2,100,150,1.4510028657
1,2,1000,150,1.5034823905
1,2,10,1500,0.785375942161
1,2,100,1500,1.47090570582
1,2,1000,1500,1.55877821627
2,2,10,15,0.785398163397
2,2,100,15,0.785398163397
2,2,1000,15,0.785398163474
2,2,10,150,0.785398163397
2,2,100,150,0.785398163397
2,2,1000,150,0.785398163474
2,2,10,1500,0.785398163397
2,2,100,1500,0.785398163397
2,2,1000,1500,0.785398163474
1,3,10,,1.0471975512
1,3,100,,2.85992090643
1,3,1000,,3.11330956067
2,3,10,,1.57079632679
2,3,100,,1.57079632679
2,3,1000,,1.57079632703
1,4,10,15,1.25802960485
1,4,100,15,1.95078109203
1,4,1000,15,1.96543746618
1,4,10,150,1.56637153357
1,4,100,150,2.90200573139
1,4,1000,150,3.00696478101
1,4,10,1500,1.57075188432
1,4,100,1500,2.94181141165
1,4,1000,1500,3.11755643254
2,4,10,15,1.57079632679
2,4,100,15,1.57079632679
2,4,1000,15,1.57079632695
2,4,10,150,1.57079632679
2,4,100,150,1.57079632679
2,4,1000,150,1.57079632695
2,4,10,1500,1.57079632679
2,4,100,1500,1.57079632679
2,4,1000,1500,1.57079632695
1,5,10,,2.09439510239
1,5,100,,5.71984181287
1,5,1000,,6.22661912143
2,5,10,,3.14159265359
2,5,100,,3.14159265359
2,5,1000,,3.14159265406
1,6,10,15,2.51605920971
1,6,100,15,3.90156218406
1,6,1000,15,3.93087493236
1,6,10,150,3.13274306714
1,6,100,150,5.80401146278
1,6,1000,150,6.01392956202
1,6,10,1500,3.13274306714
1,6,100,1500,5.80401146278
1,6,1000,1500,6.01392956202
2,6,10,15,3.14159265359
2,6,100,15,3.14159265359
2,6,1000,15,3.1415926539
2,6,10,150,3.14159265359
2,6,100,150,3.14159265359
2,6,1000,150,3.1415926539
2,6,10,1500,3.14159265359
2,6,100,1500,3.14159265359
2,6,1000,1500,3.1415926539